hcid,padrow,pad,ADC_sum,adc_0,adc_1,adc_2,adc_3,adc_4,adc_5,adc_6,adc_7,adc_8,adc_9,adc_10,adc_11,adc_12,adc_13,adc_14,adc_15,adc_16,adc_17,adc_18,adc_19,adc_20,adc_21,adc_22,adc_23,adc_24,adc_25,adc_26,adc_27,adc_28,adc_29
140,12,29,1448,16,66,134,150,135,126,117,92,67,52,43,41,36,34,29,29,25,25,25,24,21,21,19,18,18,16,18,19,15,17
140,12,36,320,10,10,9,11,10,11,11,12,8,11,12,12,9,11,10,10,9,11,9,7,12,14,14,11,11,11,11,9,13,11
140,12,36,320,10,10,9,11,10,11,11,12,8,11,12,12,9,11,10,10,9,11,9,7,12,14,14,11,11,11,11,9,13,11
141,12,94,882,15,40,66,89,93,69,52,41,35,31,26,24,25,21,21,20,18,20,16,16,17,16,16,15,14,14,13,13,12,14
141,12,95,730,24,58,67,72,65,45,31,27,26,22,20,18,15,18,18,17,15,17,16,14,13,12,14,13,12,14,11,10,14,12
140,12,30,1183,11,11,15,18,31,103,160,142,107,74,55,47,38,33,30,28,28,23,25,22,22,21,17,22,18,16,15,17,17,17
141,12,96,348,14,16,17,13,14,11,14,12,12,12,11,8,12,12,13,13,11,8,12,10,9,9,10,10,10,12,10,12,10,11
140,12,32,943,9,10,11,9,10,11,9,12,14,17,21,56,127,127,87,62,44,36,33,29,25,22,25,21,20,20,19,20,19,18
141,12,90,672,11,7,8,9,11,11,9,10,7,10,11,10,11,12,11,14,19,22,33,48,63,62,58,49,37,28,27,23,21,20
141,12,90,672,11,7,8,9,11,11,9,10,7,10,11,10,11,12,11,14,19,22,33,48,63,62,58,49,37,28,27,23,21,20
140,12,33,860,10,9,11,10,11,10,11,12,11,10,12,18,42,60,64,66,70,62,58,51,45,31,27,26,23,23,21,18,20,18
141,12,91,856,9,9,11,9,8,8,10,12,11,11,11,15,32,55,65,74,76,61,53,49,43,34,30,29,23,26,21,22,19,20
141,12,91,856,9,9,11,9,8,8,10,12,11,11,11,15,32,55,65,74,76,61,53,49,43,34,30,29,23,26,21,22,19,20
140,12,31,919,11,8,11,11,10,18,28,66,90,90,78,64,55,45,36,30,27,26,25,23,22,20,19,15,15,18,15,14,15,14
141,12,89,331,9,9,10,10,11,11,11,11,11,11,10,9,9,9,8,9,9,11,11,13,14,13,17,14,14,12,11,10,13,11
141,12,89,331,9,9,10,10,11,11,11,11,11,11,10,9,9,9,8,9,9,11,11,13,14,13,17,14,14,12,11,10,13,11
143,11,128,839,75,111,86,68,50,34,28,27,24,23,22,22,17,16,18,18,15,18,15,14,13,15,12,14,14,15,16,14,12,13
143,11,111,308,10,9,11,9,11,10,11,9,11,11,11,9,8,11,10,11,10,11,12,10,10,9,11,9,10,9,10,13,11,11
143,11,127,851,86,125,87,62,44,35,32,26,23,21,20,20,22,17,18,19,16,15,15,15,13,14,16,15,14,13,12,10,13,13
143,11,127,851,86,125,87,62,44,35,32,26,23,21,20,20,22,17,18,19,16,15,15,15,13,14,16,15,14,13,12,10,13,13
143,11,126,636,26,61,64,51,44,33,24,22,19,17,16,19,16,17,16,15,14,16,13,13,13,13,14,12,12,13,12,9,11,11
143,11,126,636,26,61,64,51,44,33,24,22,19,17,16,19,16,17,16,15,14,16,13,13,13,13,14,12,12,13,12,9,11,11
143,11,125,641,18,66,75,56,40,31,23,22,23,17,17,17,15,17,16,13,15,16,12,14,12,11,13,13,13,12,11,11,12,10
143,11,125,641,18,66,75,56,40,31,23,22,23,17,17,17,15,17,16,13,15,16,12,14,12,11,13,13,13,12,11,11,12,10
143,11,124,706,12,18,26,46,66,63,57,44,33,25,24,22,19,19,19,17,17,17,17,14,15,15,16,10,13,13,12,12,12,13
143,11,123,917,11,9,12,36,117,129,90,58,44,36,30,24,24,23,22,21,22,19,18,20,17,18,17,15,16,17,14,13,12,13
143,11,122,804,9,12,10,18,43,72,82,77,61,47,34,27,25,23,23,23,19,18,15,19,18,17,15,15,13,14,14,14,14,13
143,11,118,1236,8,9,11,12,10,9,9,10,11,9,13,58,190,195,134,87,63,50,44,39,34,32,30,28,25,25,26,22,22,21
143,11,114,730,8,10,8,7,11,12,11,10,8,9,10,11,9,10,9,10,9,10,12,19,52,99,99,73,53,40,32,27,26,26
143,11,115,601,7,8,9,11,11,11,9,12,11,13,12,10,11,8,12,8,15,20,33,59,61,49,43,35,28,22,19,20,15,19
143,11,116,642,10,7,11,8,12,13,9,10,8,11,10,10,11,10,12,31,72,79,56,44,34,27,24,19,20,18,16,16,17,17
143,11,129,755,36,81,81,69,52,39,28,25,23,21,19,20,18,18,17,16,16,15,16,12,14,13,13,14,14,13,14,13,12,13
143,11,117,772,12,10,10,11,9,11,8,9,9,9,12,14,30,40,50,64,76,74,59,42,31,27,24,24,20,18,18,18,15,18
143,11,130,751,40,104,90,60,40,31,28,24,22,20,17,20,19,16,16,19,16,14,15,14,13,15,12,13,13,14,11,12,12,11
143,11,131,410,13,31,33,26,22,16,16,17,13,12,10,12,15,11,12,10,11,13,12,8,8,10,10,12,12,9,9,9,10,8
143,11,112,379,10,10,9,12,10,9,10,9,12,9,9,12,9,10,10,11,9,9,11,10,8,13,16,17,28,28,23,15,16,15
143,11,113,752,7,11,9,12,10,10,11,12,10,8,10,11,11,8,10,12,9,10,10,11,15,33,59,95,107,83,54,41,33,30
143,11,119,843,11,11,12,11,8,11,12,13,18,26,44,80,103,85,59,41,33,28,25,25,23,21,23,20,17,18,16,17,15,17
143,11,132,314,11,12,12,12,10,11,11,12,11,13,10,13,9,9,9,11,11,12,10,10,9,8,8,9,12,11,10,10,8,10
143,11,120,1231,11,11,9,11,12,8,10,36,151,183,139,98,72,54,47,39,35,34,30,28,27,25,25,22,22,19,19,20,18,16
